Symbol;ShortName;RegularMarketTime;Open;High;Low;Close;Adjclose;Volume;Currency
ABEV3.SA;;23/08/2024;13,06;13,17;13,05;13,08;13,08;17688800;BRL
AESB3.SA;;23/08/2024;11,41;11,44;11,36;11,4;11,4;3522400;BRL
ALPK3.SA;;23/08/2024;3,76;3,85;3,76;3,82;3,82;80200;BRL
ALUP11.SA;;23/08/2024;31,48;31,879999;31,450001;31,67;31,67;247600;BRL
AMZO34.SA;;23/08/2024;49,560001;49,560001;48,150002;48,560001;48,560001;336528;BRL
ASAI3.SA;;23/08/2024;9,82;9,93;9,68;9,91;9,91;7954200;BRL
B3SA3.SA;;23/08/2024;12,65;12,85;12,54;12,77;12,77;36806100;BRL
BBAS3.SA;;23/08/2024;28,15;28,49;28,139999;28,33;28,33;5653100;BRL
BBSE3.SA;;23/08/2024;36,049999;37;36,049999;36,98;36,98;2108600;BRL
BCFF11.SA;;23/08/2024;8,28;8,3;8,26;8,28;8,28;190475;BRL
BDRX.SA;;23/08/2024;19926,31055;20102,06055;19425,35938;19560,11914;19560,11914;0;BRL
BERK34.SA;;23/08/2024;125,57;125,650002;123,5;124,169998;124,169998;8747;BRL
BMGB4.SA;;23/08/2024;3,7;3,79;3,7;3,78;3,78;155800;BRL
BPAN4.SA;;23/08/2024;10,37;10,58;10,37;10,48;10,48;633000;BRL
BRCO11.SA;;23/08/2024;115,309998;117,389999;115,309998;116,860001;116,860001;13092;BRL
BRSR6.SA;;23/08/2024;12,3;12,73;12,3;12,65;12,65;436600;BRL
BTCI11.SA;;23/08/2024;9,98;9,99;9,94;9,96;9,96;100097;BRL
COWC34.SA;;23/08/2024;123;123;120,349998;120,690002;120,690002;1124;BRL
CPTS11.SA;;23/08/2024;8,25;8,29;8,23;8,29;8,29;547220;BRL
CSAN3.SA;;23/08/2024;13,77;14,12;13,75;14,11;14,11;3851300;BRL
CVBI11.SA;;23/08/2024;93,879997;94,5;93,5;93,989998;93,989998;16000;BRL
CYRE3.SA;;23/08/2024;21,799999;22,75;21,629999;22,58;22,58;3586600;BRL
CXSE3.SA;;23/08/2024;14,74;15,15;14,74;15,14;15,14;1131900;BRL
D1OC34.SA;;23/08/2024;15,95;15,95;15,95;15,95;15,95;1;BRL
DGCO34.SA;;23/08/2024;28,27;28,67;28,27;28,27;28,27;449;BRL
DIRR3.SA;;23/08/2024;28,450001;29,08;28,290001;29,07;29,07;443500;BRL
EGIE3.SA;;23/08/2024;45,900002;46,09;45,139999;45,740002;45,740002;556000;BRL
ELET6.SA;;23/08/2024;45,75;46,299999;45,459999;46,23;46,23;553100;BRL
ENEV3.SA;;23/08/2024;13,52;13,8;13,39;13,75;13,75;3032000;BRL
FLMA11.SA;;23/08/2024;141,270004;141,979996;141,270004;141,970001;141,970001;193;BRL
FLRY3.SA;;23/08/2024;16;16,290001;15,93;16,25;16,25;1818200;BRL
GARE11.SA;;23/08/2024;9,1;9,13;9,1;9,12;9,12;355585;BRL
GCRA11.SA;;23/08/2024;59,669998;59,709999;59,450001;59,509998;59,509998;1462;BRL
GGBR4.SA;;23/08/2024;18,25;18,49;18,139999;18,43;18,43;3953400;BRL
GOGL34.SA;;23/08/2024;76,559998;76,639999;75;75,599998;75,599998;71984;BRL
GOLL4.SA;;23/08/2024;1,1;1,13;1,09;1,11;1,11;2190200;BRL
HAPV3.SA;;23/08/2024;4,37;4,52;4,35;4,47;4,47;23818500;BRL
HFOF11.SA;;23/08/2024;69,760002;69,790001;69,150002;69,709999;69,709999;17857;BRL
HGBS11.SA;;23/08/2024;211,960007;212,190002;211,199997;212,119995;212,119995;12791;BRL
HGCR11.SA;;23/08/2024;103,550003;103,800003;103,459999;103,690002;103,690002;12957;BRL
HGLG11.SA;;23/08/2024;161,800003;162,600006;161,529999;162,470001;162,470001;23292;BRL
HGRE11.SA;;23/08/2024;114,529999;115;113,610001;113,650002;113,650002;15150;BRL
HYPE3.SA;;23/08/2024;30,91;31,25;30,67;31,08;31,08;1345500;BRL
^BVSP;;23/08/2024;135174,1875;136477,5313;135174,1875;136195,2813;136195,2813;0;BRL
IFIX.SA;;23/08/2024;3378,659912;3388,610107;3378,600098;3387,550049;3387,550049;0;BRL
IGTI11.SA;;23/08/2024;22,93;23,530001;22,74;23,49;23,49;1225700;BRL
INTB3.SA;;23/08/2024;23,040001;23,360001;22,67;23,02;23,02;866600;BRL
IRDM11.SA;;23/08/2024;71,889999;72;71,540001;71,860001;71,860001;25266;BRL
ITLC34.SA;;23/08/2024;18,860001;19,15;18,6;18,809999;18,809999;25936;BRL
ITSA3.SA;;23/08/2024;10,96;11,08;10,96;11,02;11,02;47700;BRL
ITSA4.SA;;23/08/2024;10,99;11,08;10,97;11,02;11,02;12389000;BRL
ITUB4.SA;;23/08/2024;36,790001;37,049999;36,59;36,599998;36,599998;9680800;BRL
IVVB11.SA;;23/08/2024;347,600006;348,23999;341,799988;343,98999;343,98999;107237;BRL
JPMC34.SA;;23/08/2024;121,349998;121,349998;119,059998;119,849998;119,849998;29057;BRL
KEPL3.SA;;23/08/2024;11,1;11,38;11,1;11,37;11,37;254500;BRL
KNIP11.SA;;23/08/2024;95,989998;96;95,599998;95,839996;95,839996;34190;BRL
KNRI11.SA;;23/08/2024;155;156,770004;154,75;155,5;155,5;18581;BRL
LEVE3.SA;;23/08/2024;31,01;31,4;30,809999;31,280001;31,280001;187600;BRL
LPSB3.SA;;23/08/2024;1,74;1,79;1,74;1,74;1,74;56900;BRL
M1TA34.SA;;23/08/2024;106,68;107,050003;103,010002;103,470001;103,470001;59587;BRL
MCCI11.SA;;23/08/2024;89,5;90,379997;89,5;90,260002;90,260002;13100;BRL
MDIA3.SA;;23/08/2024;27,92;28,08;27,65;28,040001;28,040001;277200;BRL
MULT3.SA;;23/08/2024;26,35;26,879999;26,02;26,75;26,75;4386000;BRL
MXRF11.SA;;23/08/2024;10,06;10,08;10,05;10,07;10,07;917637;BRL
NTCO3.SA;;23/08/2024;13,43;13,76;13,34;13,74;13,74;3961400;BRL
NVDC34.SA;;23/08/2024;14,56;14,91;14,49;14,66;14,66;4218867;BRL
ODPV3.SA;;23/08/2024;11,67;11,92;11,63;11,8;11,8;652400;BRL
PETR4.SA;;23/08/2024;37,369999;37,529999;37,139999;37,240002;37,240002;17396100;BRL
PFIZ34.SA;;23/08/2024;40,299999;40,299999;39,529999;39,700001;39,700001;5783;BRL
PLCR11.SA;;23/08/2024;86,059998;86,190002;85,190002;85,540001;85,540001;2810;BRL
PSSA3.SA;;23/08/2024;33,450001;34,400002;33,439999;34,389999;34,389999;942700;BRL
PVBI11.SA;;23/08/2024;92,900002;93,769997;92,669998;93,519997;93,519997;34565;BRL
QUAL3.SA;;23/08/2024;1,84;1,99;1,83;1,97;1,97;3374600;BRL
RBFF11.SA;;23/08/2024;60,91;61,720001;60,91;61,18;61,18;5120;BRL
RBHG11.SA;;23/08/2024;83,860001;84,050003;82,199997;84,050003;84,050003;4680;BRL
RBRF11.SA;;23/08/2024;7,58;7,64;7,57;7,63;7,63;209511;BRL
RBRR11.SA;;23/08/2024;91,110001;91,110001;90,410004;90,879997;90,879997;19803;BRL
RBVA11.SA;;23/08/2024;106,199997;106,419998;105,809998;106,300003;106,300003;4778;BRL
RCRB11.SA;;23/08/2024;134,199997;138,710007;134,199997;135,509995;135,509995;3284;BRL
RECR11.SA;;23/08/2024;85,059998;85,099998;84,639999;84,980003;84,980003;18230;BRL
ROXO34.SA;;23/08/2024;13,33;13,36;13,06;13,12;13,12;997621;BRL
S1HW34.SA;;23/08/2024;196,619995;199,529999;196,550003;196,550003;196,550003;17;BRL
SAPR11.SA;;23/08/2024;28,68;29,120001;28,629999;28,92;28,92;347100;BRL
SARE11.SA;;23/08/2024;40,400002;40,689999;40,130001;40,400002;40,400002;7866;BRL
SLCE3.SA;;23/08/2024;17,85;17,91;17,73;17,879999;17,879999;685600;BRL
SPXI11.SA;;23/08/2024;337,589996;338,959991;332,899994;334,980011;334,980011;4628;BRL
SSFO34.SA;;23/08/2024;65,870003;66,739998;65,470001;65,75;65,75;635;BRL
SUZB3.SA;;23/08/2024;56,41;56,529999;55,650002;56,200001;56,200001;2848300;BRL
TRPL4.SA;;23/08/2024;25,01;25,200001;24,969999;25,110001;25,110001;888600;BRL
TRXF11.SA;;23/08/2024;106,099998;106,25;105,989998;106,080002;106,080002;59337;BRL
TSLA34.SA;;23/08/2024;37,099998;38,09;37,009998;37,529999;37,529999;569096;BRL
TUPY3.SA;;23/08/2024;27,35;27,52;27,030001;27,43;27,43;217500;BRL
VALE3.SA;;23/08/2024;58,259998;58,380001;57,91;57,98;57,98;11676600;BRL
VGIP11.SA;;23/08/2024;87,620003;88,279999;87,620003;88,129997;88,129997;10182;BRL
VGIR11.SA;;23/08/2024;9,88;9,9;9,85;9,86;9,86;231064;BRL
VISA34.SA;;23/08/2024;75,07;75,07;73;73,389999;73,389999;2746;BRL
VISC11.SA;;23/08/2024;112,529999;112,830002;112,199997;112,449997;112,449997;25483;BRL
VIUR11.SA;;23/08/2024;6,5;6,6;6,47;6,59;6,59;17512;BRL
VIVT3.SA;;23/08/2024;52,18;53,18;52,130001;53,099998;53,099998;989100;BRL
WEGE3.SA;;23/08/2024;54,5;54,75;53,77;54;54;2464800;BRL
XPBR31.SA;;23/08/2024;108,360001;109,239998;106,230003;108,400002;108,400002;441660;BRL
XPLG11.SA;;23/08/2024;102,989998;103,32;102,599998;102,739998;102,739998;21430;BRL
XPML11.SA;;23/08/2024;111,730003;111,900002;111,589996;111,800003;111,800003;65735;BRL
Z1OM34.SA;;23/08/2024;15,24;15,59;15,12;15,59;15,59;4531;BRL
